Formula label,Helper lipid,Lipid wt%,Dlin wt%,Chol wt%,DMG wt%,pDNA wt%,RLU in HepG2,RLU in N2a,RLU in ARPE19
474,DOTAP,25.6779946525633,24.8651744025900,44.4733630326814,2.88590890596140,2.09755900620396,8.639,6.542,5.991
475,DOTAP,32.9693634421094,31.9257396468298,25.3785562161357,1.64683298968795,8.07950770523718,6.978,10.418,6.718
476,DOTAP,34.3573143731552,33.2697558922435,26.4469478091561,1.71616169800007,4.20982022744512,8.448,6.495,5.313
477,DOTAP,34.8463032811710,33.7432661738392,26.8233527862476,1.74058689100466,2.84649086773754,8.674,6.717,5.468
478,DOTAP,39.6699649597209,38.4142379735883,11.4511587127340,0.743074025869638,9.72156432808723,5.807,9.422,5.883
479,DOTAP,41.6967533074759,40.3768696520334,12.0362127976274,0.781038611386192,5.10912563147703,7.031,4.86,2.639
480,DOTAP,42.4191695284892,41.0764182565800,12.2447459488887,0.794570479393812,3.46509578664832,6.692,5.951,3.664
481,DOTAP,0.108454682693107,21.0043240247537,46.2222048818703,29.9939252679717,2.67109114271121,1.253,2.833,2.708
482,DOTAP,0.109922751127705,21.2886435610348,46.8478796639968,30.3999301893102,1.35362383453049,1.386,2.197,2.197
483,DOTAP,0.110420979359349,21.3851349891212,47.0602191114886,30.5377188027221,0.906506117308783,1.872,2.303,2.639
484,DOTAP,0.207113245806518,40.1114420946534,33.1010288480604,21.4794986110910,5.10091720038863,1.504,3.466,2.639
485,DOTAP,0.212533833234572,41.1612425450916,33.9673521009781,22.0416620771638,2.61720944353198,1.386,3.219,2.398
486,DOTAP,0.214404303124140,41.5234948210048,34.2662923137728,22.2356465576765,1.76016200442171,1.099,3.401,2.833
487,DOTAP,0.297245583081457,57.5672934255570,21.1138051707430,13.7009018940629,7.32075392655563,1.504,3.367,2.398
488,DOTAP,0.308539283953970,59.7545346462626,21.9160138946101,14.2214609754498,3.79945119972348,0.916,4.234,2.303
489,DOTAP,0.312497007723656,60.5210235649032,22.1971370242677,14.4038838209977,2.56545858210775,2.079,5.124,1.792
490,DOTAP,0.379911187471947,73.5770690959468,10.1196257207338,6.56669880597983,9.35669518986764,0.693,2.944,1.609
491,DOTAP,0.398557072696901,77.1882014626472,10.6162927995947,6.88898968943054,4.90795897563057,1.386,3.178,1.609
492,DOTAP,0.405185857924227,78.4719925295507,10.7928625550948,7.00356708928822,3.32639196814207,0.693,5.153,2.303
493,DOTAP,0.215828220490389,20.8996318291485,46.2206338093172,29.9929057875538,2.67100035349006,1.099,2.996,3.219
494,DOTAP,0.218749622079895,21.1825244810318,46.8462657714939,30.3988829227152,1.35357720267919,0.916,1.946,2.303
495,DOTAP,0.219741077121508,21.2785315986264,47.0585905560502,30.5366620212414,0.906474746960427,1.099,2.079,2.398
496,DOTAP,0.412149112306607,39.9102799733367,33.0988803586631,21.4781044406791,5.10058611501447,1.386,3.332,2.639
497,DOTAP,0.422935199332950,40.9547460177470,33.9650896828202,22.0401939775497,2.61703512255016,0.693,2.639,2.303
498,DOTAP,0.426657121574438,41.3151567386763,34.2639898995059,22.2341525042960,1.76004373594743,0.693,3.045,2.197
499,DOTAP,0.591493037354441,57.2769709268074,21.1118384010845,13.6996256429125,7.32007199184117,0.916,3.932,1.946
500,DOTAP,0.613964353702058,59.4529710685610,21.9138948403495,14.2200859057124,3.79908383167509,1.253,4.007,1.386
501,DOTAP,0.621839083056537,60.2155170594832,22.1949632605757,14.4024732499119,2.56520734697266,2.14,4.635,1.792
502,DOTAP,0.755970866293787,73.2041099315192,10.1184209431944,6.56591701706319,9.35558124192941,0.405,3.526,2.079
503,DOTAP,0.793068972297711,76.7964888858518,10.6149668677527,6.88812928260479,4.90734599149305,0.916,3.584,1.386
504,DOTAP,0.806257588785841,78.0736028254074,10.7914921536271,7.00267782579863,3.32596960638104,0.916,5.176,1.792
505,DOTAP,0.427395888354404,20.6933474491967,46.2175381848000,29.9908970142670,2.67082146338194,2.079,2.89,2.89
506,DOTAP,0.433180628961158,20.9734288691185,46.8430857793527,30.3968194026628,1.35348531990484,1.253,2.079,2.303
507,DOTAP,0.435143831588164,21.0684818052387,47.0553816737458,30.5345797541519,0.906412935275450,0,2.565,2.639
508,DOTAP,0.816112484582018,39.5139486860926,33.0946473869542,21.4753576345191,5.09993380785212,0.693,3.466,1.792
509,DOTAP,0.837467632029873,40.5479068920753,33.9606322702085,22.0373015300539,2.61669167563247,1.253,3.466,2.398
510,DOTAP,0.844836554629100,40.9046900989965,34.2594536945225,22.2312089278564,1.75981072399554,1.253,3.497,2.708
511,DOTAP,1.17117318907580,56.7050231064293,21.1079637801914,13.6971113732058,7.31872855109767,1.099,3.664,2.485
512,DOTAP,1.21565856429009,58.8588840835701,21.9097202561164,14.2173769876105,3.79836010841279,1.099,4.644,2.303
513,DOTAP,1.23124763732067,59.6136646357999,22.1906809133153,14.3996944035971,2.56471240996710,1.872,5.964,2.485
514,DOTAP,1.49676762442031,72.4694208502884,10.1160476621817,6.56437697773537,9.35338688537424,1.099,4.29,3.332
515,DOTAP,1.57020111710076,76.0248710075079,10.6123549712362,6.88643440393936,4.90613850021586,0.693,3.466,1.386
516,DOTAP,1.59630679112101,77.2888368003854,10.7887926749475,7.00092611442993,3.32513761911611,1.386,5.38,2.708
517,DOTAP,1.98058838200177,19.1789414261371,46.1948121188950,29.9761499046444,2.66950816832164,0.916,2.639,3.401
518,DOTAP,2.00738199516696,19.4383962134921,46.8197405176478,30.3816704923777,1.35281078131539,0.916,2.303,2.833
519,DOTAP,2.01647502568363,19.5264481788827,47.0318243812742,30.5192932555585,0.905959158600885,1.099,1.946,2.565
520,DOTAP,3.78024308485166,36.6058194422274,33.0635874398559,21.4552026087155,5.09514742434953,2.079,4.394,3.135
521,DOTAP,3.87906512833938,37.5627584008143,33.9279263732262,22.0160784353872,2.61417166223293,2.803,5.242,3.584
522,DOTAP,3.91316407041453,37.8929540228302,34.2261699855024,22.2096108867517,1.75810103450107,4.277,4.977,4.043
523,DOTAP,5.42267448279058,52.5102324256471,21.0795464612776,13.6786711680707,7.30887546221397,2.14,4.605,2.303
524,DOTAP,5.62835937129758,54.5019730946145,21.8791047193707,14.1975103429202,3.79305247179702,2.803,5.273,2.485
525,DOTAP,5.70043284088907,55.1998934016480,22.1592757043157,14.3793153348320,2.56108271831529,3.829,4.913,2.833
526,DOTAP,6.92762352007063,67.0833409511770,10.0986488992434,6.55308679379324,9.33729983571576,0.693,3.951,1.609
527,DOTAP,7.26688913363909,70.3686047594781,10.5932087299108,6.87401026854942,4.89728710842251,1.705,4.595,2.197
528,DOTAP,7.38748457691304,71.5363854875831,10.7690050960015,6.98808581038864,3.31903902911378,1.253,5.684,2.485
529,DOTAP,10.8625901188718,10.5187418809060,46.0648520800294,29.8918178892522,2.66199803094053,4.363,7.878,6.353
530,DOTAP,11.0091214165378,10.6606348254760,46.6862455486419,30.2950446350815,1.34895357426286,4.443,6.004,3.401
531,DOTAP,11.0588476567840,10.7087870138706,46.8971190029809,30.4318819548633,0.903364371501232,4.103,4.787,4.06
532,DOTAP,20.6799804146770,20.0253690605764,32.8865018055751,21.3402904513612,5.06785826781030,5.503,9.21,2.996
533,DOTAP,21.2176198659823,20.5459898840988,33.7414871794275,21.8950966851632,2.59980638532810,6.449,9.339,6.738
534,DOTAP,21.4030995825172,20.7255983606245,34.0364477601634,22.0864987534592,1.74835554323583,5.838,7.827,4.443
535,DOTAP,29.5961003256446,28.6592549843156,20.9179696666447,13.5738228096758,7.25285221371927,5.268,6.897,2.197
536,DOTAP,30.7097673460372,29.7376695981962,21.7050886686414,14.0845900606805,3.76288432644476,5.782,7.683,4.369
537,DOTAP,31.0998511542474,30.1154055567091,21.9807926018559,14.2634963502021,2.54045433698548,5.476,7.054,3.434
