Formula label,helper lipid,NP ratio,Dlin-MC3:Helper lipid,Dlin-MC3+Helper lipid percentage,Chol:DMG-PEG,RLU in HepG2,RLU in N2a,RLU in ARPE19
222,DOPE,12,10,40,500,0.916,5.231,5.209
223,DOPE,4,10,60,500,0.693,6.161,3.466
224,DOPE,8,10,60,500,0.405,6.009,3.434
225,DOPE,12,10,60,500,1.609,6.001,3.912
226,DOPE,4,10,80,500,1.504,7.607,4.127
227,DOPE,8,10,80,500,1.253,6.916,4.82
228,DOPE,12,10,80,500,3.902,6.551,5.472
229,DOPE,4,1,20,500,3.676,6.038,7.904
230,DOPE,8,1,20,500,2.862,8.595,6.518
231,DOPE,12,1,20,500,2.197,7.874,5.832
232,DOPE,4,1,40,500,1.253,8.389,6.913
233,DOPE,8,1,40,500,3.584,9.338,5.781
234,DOPE,12,1,40,500,3.401,8.956,5.684
235,DOPE,4,1,60,500,4.174,9.82,4.19
236,DOPE,8,1,60,500,4.159,8.782,7.149
237,DOPE,12,1,60,500,5.807,9.016,7.487
238,DOPE,4,1,80,500,6.222,10.091,7.888
239,DOPE,8,1,80,500,6.708,10.023,7.405
240,DOPE,12,1,80,500,6.424,9.557,7.815
241,DOPE,4,200,20,100,1.253,5.733,7.561
242,DOPE,8,200,20,100,1.253,5.106,6.252
243,DOPE,12,200,20,100,0.916,4.29,5.966
244,DOPE,4,200,40,100,1.099,4.86,7.285
245,DOPE,8,200,40,100,0.693,4.875,7.834
246,DOPE,12,200,40,100,1.504,4.71,7.23
247,DOPE,4,200,60,100,0.693,5.024,8.1
248,DOPE,8,200,60,100,0.405,4.407,7.413
249,DOPE,12,200,60,100,1.792,5.472,6.436
250,DOPE,4,200,80,100,0.693,4.007,4.812
251,DOPE,8,200,80,100,0.405,3.892,4.489
252,DOPE,12,200,80,100,5.226,5.429,5.226
253,DOPE,4,100,20,100,1.253,5.635,6.535
254,DOPE,8,100,20,100,1.099,5.204,5.541
255,DOPE,12,100,20,100,1.253,4.533,5.694
256,DOPE,4,100,40,100,0.693,5.024,5.361
257,DOPE,8,100,40,100,1.386,4.883,5.663
258,DOPE,12,100,40,100,1.099,5.056,6.91
259,DOPE,4,100,60,100,0.916,4.997,4.635
260,DOPE,8,100,60,100,1.099,4.466,4.635
261,DOPE,12,100,60,100,1.504,3.219,5.075
262,DOPE,4,100,80,100,0.405,3.434,2.708
263,DOPE,8,100,80,100,0.405,3.611,2.079
264,DOPE,12,100,80,100,3.989,3.714,2.773
265,DOPE,4,50,20,100,1.099,6.026,3.738
266,DOPE,8,50,20,100,0.916,5.193,3.932
267,DOPE,12,50,20,100,1.386,5.333,2.485
268,DOPE,4,50,40,100,2.015,5.13,2.89
269,DOPE,8,50,40,100,1.609,5.333,4.344
270,DOPE,12,50,40,100,4.304,5.037,3.989
271,DOPE,4,50,60,100,2.398,5.609,3.638
272,DOPE,8,50,60,100,1.099,4.956,2.89
273,DOPE,12,50,60,100,1.872,4.771,3.367
274,DOPE,4,50,80,100,1.872,5.318,4.234
275,DOPE,8,50,80,100,1.946,4.043,2.079
276,DOPE,12,50,80,100,4.483,6.969,5.464
277,DOPE,4,10,20,100,2.197,6.457,6.133
278,DOPE,8,10,20,100,2.079,5.357,6.047
279,DOPE,12,10,20,100,2.251,5.71,5.268
280,DOPE,4,10,40,100,1.946,6.628,6.444
281,DOPE,8,10,40,100,1.872,5.943,6.621
282,DOPE,12,10,40,100,3.02,5.872,6.945
283,DOPE,4,10,60,100,1.792,7.681,7.076
284,DOPE,8,10,60,100,1.705,6.817,6.219
285,DOPE,12,10,60,100,4.363,5.756,5.517
286,DOPE,4,10,80,100,2.89,8.712,6.868
287,DOPE,8,10,80,100,3.526,7.524,5.953
288,DOPE,12,10,80,100,5.844,7.093,5.606
289,DOPE,4,1,20,100,5.816,9.043,7.869
290,DOPE,8,1,20,100,3.296,8.948,6.99
291,DOPE,12,1,20,100,4.311,7.891,6.194
292,DOPE,4,1,40,100,6.029,9.87,6.116
293,DOPE,8,1,40,100,6.372,8.838,5.914
294,DOPE,12,1,40,100,6.458,8.756,6.207
295,DOPE,4,1,60,100,6.006,10.216,6.279
296,DOPE,8,1,60,100,6.537,8.985,5.252
297,DOPE,12,1,60,100,7.636,8.301,6.363
298,DOPE,4,1,80,100,7.84,10.438,7.005
299,DOPE,8,1,80,100,8.234,10.235,6.702
300,DOPE,12,1,80,100,8.221,9.509,6.506
301,DOPE,4,200,20,10,1.099,2.639,1.792
302,DOPE,8,200,20,10,0.916,2.303,1.946
303,DOPE,12,200,20,10,0.405,2.197,1.386
304,DOPE,4,200,40,10,0.916,2.89,1.792
305,DOPE,8,200,40,10,0.693,3.178,1.946
306,DOPE,12,200,40,10,1.386,3.332,1.792
307,DOPE,4,200,60,10,1.099,3.178,1.386
